mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_C,param_penalty,param_solver,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.11208200454711914,0.00670339872932175,0.00167694091796875,0.00010823789664268729,1e-06,l1,liblinear,"{'C': 1e-06, 'penalty': 'l1', 'solver': 'liblinear'}",0.20063191153238547,0.20094936708860758,0.20031796502384738,0.20063694267515925,0.20063694267515925,0.20063462579903177,0.00019967685342955015,9
0.11591253280639649,0.006776263907260767,0.00164947509765625,0.00025497007658882754,1e-06,l2,liblinear,"{'C': 1e-06, 'penalty': 'l2', 'solver': 'liblinear'}",0.5260663507109005,0.5316455696202531,0.5564387917329093,0.5222929936305732,0.5047770700636943,0.528244155151666,0.016717478221872785,8
0.10216097831726074,0.002889642886186415,0.0014772415161132812,2.0054956855888104e-05,1e-05,l1,liblinear,"{'C': 1e-05, 'penalty': 'l1', 'solver': 'liblinear'}",0.20063191153238547,0.20094936708860758,0.20031796502384738,0.20063694267515925,0.20063694267515925,0.20063462579903177,0.00019967685342955015,9
0.14998259544372558,0.00640739040211224,0.0017425537109375,0.00042690169554394176,1e-05,l2,liblinear,"{'C': 1e-05, 'penalty': 'l2', 'solver': 'liblinear'}",0.6050552922590837,0.6044303797468354,0.6057233704292527,0.5923566878980892,0.5796178343949044,0.5974367129456332,0.01018765827481172,7
0.10114016532897949,0.0027851346762300085,0.0014840126037597655,2.82759208051933e-05,0.0001,l1,liblinear,"{'C': 0.0001, 'penalty': 'l1', 'solver': 'liblinear'}",0.20063191153238547,0.20094936708860758,0.20031796502384738,0.20063694267515925,0.20063694267515925,0.20063462579903177,0.00019967685342955015,9
0.16407032012939454,0.0034990962216863075,0.0015175819396972656,1.0444148938862186e-05,0.0001,l2,liblinear,"{'C': 0.0001, 'penalty': 'l2', 'solver': 'liblinear'}",0.7835703001579779,0.7832278481012658,0.78060413354531,0.7738853503184714,0.7722929936305732,0.7787161251507196,0.004734474388706744,5
0.10021896362304687,0.003390590393412988,0.001518392562866211,6.993522065484723e-05,0.001,l1,liblinear,"{'C': 0.001, 'penalty': 'l1', 'solver': 'liblinear'}",0.20063191153238547,0.20094936708860758,0.20031796502384738,0.20063694267515925,0.20063694267515925,0.20063462579903177,0.00019967685342955015,9
0.19804177284240723,0.006178466039697299,0.0015266895294189452,1.2151958988301495e-05,0.001,l2,liblinear,"{'C': 0.001, 'penalty': 'l2', 'solver': 'liblinear'}",0.8436018957345972,0.8560126582278481,0.8298887122416534,0.839171974522293,0.8168789808917197,0.8371108443236223,0.013154072105035282,4
0.477768611907959,0.052578360909104206,0.0018115997314453124,6.813076949410612e-05,0.01,l1,liblinear,"{'C': 0.01, 'penalty': 'l1', 'solver': 'liblinear'}",0.6477093206951027,0.629746835443038,0.5945945945945946,0.6098726114649682,0.6098726114649682,0.6183591947325343,0.018438593578692385,6
0.3074638366699219,0.009233920226818331,0.0015191078186035157,2.1300588592805408e-05,0.01,l2,liblinear,"{'C': 0.01, 'penalty': 'l2', 'solver': 'liblinear'}",0.8704581358609794,0.865506329113924,0.8473767885532592,0.8742038216560509,0.8614649681528662,0.8638020086674161,0.009280690330109758,2
0.5015999794006347,0.004714655452184097,0.0018348217010498047,4.497547691567754e-05,0.1,l1,liblinear,"{'C': 0.1, 'penalty': 'l1', 'solver': 'liblinear'}",0.8515007898894155,0.8544303797468354,0.8441971383147854,0.8423566878980892,0.8375796178343949,0.8460129227367041,0.006144200944638998,3
0.42092318534851075,0.025123735424520267,0.0015176296234130859,1.6085463863606183e-05,0.1,l2,liblinear,"{'C': 0.1, 'penalty': 'l2', 'solver': 'liblinear'}",0.8767772511848341,0.865506329113924,0.8521462639109698,0.8710191082802548,0.8757961783439491,0.8682490261667862,0.008990937907139545,1
